layer,key,status,ref_count,note,sources
Reference,ui.quest.type.survive_seconds,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.protect_seconds,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.complete_waves,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.clear_stronghold,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.complete_wave_events,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.complete_wave_events_of_type,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.boss_breaks,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.boss_breaks_with_id,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.defeat_boss,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.defeat_boss_id,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.collect_items,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.reach_marked_location,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.reach_combo,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.progress.time_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.progress.count_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
